Symptom,Frequency,Disease,Relative_Frequency
coma,1,Migraine,0.0016233766233766235
stomach_bleeding,1,Migraine,0.0016233766233766235
fluid_overload,1,Migraine,0.0016233766233766235
blood_in_sputum,1,Migraine,0.0016233766233766235
painful_walking,1,Migraine,0.0016233766233766235
skin_peeling,2,Migraine,0.003246753246753247
silver_like_dusting,2,Migraine,0.003246753246753247
small_dents_in_nails,2,Migraine,0.003246753246753247
inflammatory_nails,2,Migraine,0.003246753246753247
red_sore_around_nose,1,Migraine,0.0016233766233766235
itching,5,Hepatitis D,0.008710801393728223
skin_rash,2,Hepatitis D,0.003484320557491289
chills,3,Hepatitis D,0.005226480836236934
joint_pain,52,Hepatitis D,0.09059233449477352
stomach_pain,1,Hepatitis D,0.0017421602787456446
muscle_wasting,1,Hepatitis D,0.0017421602787456446
vomiting,60,Hepatitis D,0.10452961672473868
burning_micturition,2,Hepatitis D,0.003484320557491289
fatigue,54,Hepatitis D,0.09407665505226481
mood_swings,2,Hepatitis D,0.003484320557491289
weight_loss,3,Hepatitis D,0.005226480836236934
restlessness,1,Hepatitis D,0.0017421602787456446
lethargy,1,Hepatitis D,0.0017421602787456446
high_fever,6,Hepatitis D,0.010452961672473868
sweating,3,Hepatitis D,0.005226480836236934
headache,4,Hepatitis D,0.006968641114982578
yellowish_skin,57,Hepatitis D,0.09930313588850175
dark_urine,52,Hepatitis D,0.09059233449477352
nausea,54,Hepatitis D,0.09407665505226481
loss_of_appetite,53,Hepatitis D,0.09233449477351917
constipation,1,Hepatitis D,0.0017421602787456446
abdominal_pain,59,Hepatitis D,0.10278745644599303
diarrhoea,5,Hepatitis D,0.008710801393728223
mild_fever,1,Hepatitis D,0.0017421602787456446
yellow_urine,1,Hepatitis D,0.0017421602787456446
yellowing_of_eyes,53,Hepatitis D,0.09233449477351917
swelling_of_stomach,2,Hepatitis D,0.003484320557491289
malaise,1,Hepatitis D,0.0017421602787456446
chest_pain,1,Hepatitis D,0.0017421602787456446
fast_heart_rate,1,Hepatitis D,0.0017421602787456446
pain_in_anal_region,1,Hepatitis D,0.0017421602787456446
obesity,1,Hepatitis D,0.0017421602787456446
excessive_hunger,1,Hepatitis D,0.0017421602787456446
extra_marital_contacts,1,Hepatitis D,0.0017421602787456446
hip_joint_pain,1,Hepatitis D,0.0017421602787456446
muscle_weakness,1,Hepatitis D,0.0017421602787456446
weakness_of_one_body_side,1,Hepatitis D,0.0017421602787456446
bladder_discomfort,3,Hepatitis D,0.005226480836236934
foul_smell_of urine,1,Hepatitis D,0.0017421602787456446
continuous_feel_of_urine,2,Hepatitis D,0.003484320557491289
toxic_look_(typhos),1,Hepatitis D,0.0017421602787456446
irritability,1,Hepatitis D,0.0017421602787456446
muscle_pain,3,Hepatitis D,0.005226480836236934
altered_sensorium,1,Hepatitis D,0.0017421602787456446
belly_pain,1,Hepatitis D,0.0017421602787456446
abnormal_menstruation,1,Hepatitis D,0.0017421602787456446
receiving_blood_transfusion,1,Hepatitis D,0.0017421602787456446
receiving_unsterile_injections,1,Hepatitis D,0.0017421602787456446
distention_of_abdomen,1,Hepatitis D,0.0017421602787456446
history_of_alcohol_consumption,1,Hepatitis D,0.0017421602787456446
fluid_overload,1,Hepatitis D,0.0017421602787456446
pus_filled_pimples,1,Hepatitis D,0.0017421602787456446
blackheads,1,Hepatitis D,0.0017421602787456446
scurring,1,Hepatitis D,0.0017421602787456446
skin_peeling,1,Hepatitis D,0.0017421602787456446
silver_like_dusting,1,Hepatitis D,0.0017421602787456446
small_dents_in_nails,1,Hepatitis D,0.0017421602787456446
inflammatory_nails,1,Hepatitis D,0.0017421602787456446
itching,54,Hepatitis B,0.06683168316831684
skin_rash,2,Hepatitis B,0.0024752475247524753
nodal_skin_eruptions,1,Hepatitis B,0.0012376237623762376
chills,3,Hepatitis B,0.0037128712871287127
joint_pain,3,Hepatitis B,0.0037128712871287127
stomach_pain,1,Hepatitis B,0.0012376237623762376
acidity,2,Hepatitis B,0.0024752475247524753
vomiting,8,Hepatitis B,0.009900990099009901
burning_micturition,2,Hepatitis B,0.0024752475247524753
spotting_ urination,1,Hepatitis B,0.0012376237623762376
fatigue,59,Hepatitis B,0.07301980198019802
weight_gain,2,Hepatitis B,0.0024752475247524753
anxiety,2,Hepatitis B,0.0024752475247524753
cold_hands_and_feets,3,Hepatitis B,0.0037128712871287127
mood_swings,4,Hepatitis B,0.0049504950495049506
weight_loss,4,Hepatitis B,0.0049504950495049506
restlessness,3,Hepatitis B,0.0037128712871287127
lethargy,51,Hepatitis B,0.06311881188118812
irregular_sugar_level,1,Hepatitis B,0.0012376237623762376
cough,1,Hepatitis B,0.0012376237623762376
high_fever,6,Hepatitis B,0.007425742574257425
sunken_eyes,1,Hepatitis B,0.0012376237623762376
breathlessness,1,Hepatitis B,0.0012376237623762376
sweating,4,Hepatitis B,0.0049504950495049506
dehydration,1,Hepatitis B,0.0012376237623762376
indigestion,1,Hepatitis B,0.0012376237623762376
headache,5,Hepatitis B,0.006188118811881188
yellowish_skin,54,Hepatitis B,0.06683168316831684
dark_urine,52,Hepatitis B,0.06435643564356436
nausea,7,Hepatitis B,0.008663366336633664
loss_of_appetite,53,Hepatitis B,0.0655940594059406
back_pain,2,Hepatitis B,0.0024752475247524753
constipation,4,Hepatitis B,0.0049504950495049506
abdominal_pain,55,Hepatitis B,0.06806930693069307
diarrhoea,6,Hepatitis B,0.007425742574257425
mild_fever,1,Hepatitis B,0.0012376237623762376
yellow_urine,50,Hepatitis B,0.06188118811881188
yellowing_of_eyes,55,Hepatitis B,0.06806930693069307
acute_liver_failure,2,Hepatitis B,0.0024752475247524753
fluid_overload,1,Hepatitis B,0.0012376237623762376
malaise,52,Hepatitis B,0.06435643564356436
blurred_and_distorted_vision,3,Hepatitis B,0.0037128712871287127
phlegm,1,Hepatitis B,0.0012376237623762376
chest_pain,1,Hepatitis B,0.0012376237623762376
weakness_in_limbs,2,Hepatitis B,0.0024752475247524753
fast_heart_rate,2,Hepatitis B,0.0024752475247524753
pain_during_bowel_movements,2,Hepatitis B,0.0024752475247524753
pain_in_anal_region,3,Hepatitis B,0.0037128712871287127
bloody_stool,2,Hepatitis B,0.0024752475247524753
irritation_in_anus,3,Hepatitis B,0.0037128712871287127
neck_pain,2,Hepatitis B,0.0024752475247524753
dizziness,4,Hepatitis B,0.0049504950495049506
obesity,1,Hepatitis B,0.0012376237623762376
puffy_face_and_eyes,3,Hepatitis B,0.0037128712871287127
enlarged_thyroid,2,Hepatitis B,0.0024752475247524753
brittle_nails,2,Hepatitis B,0.0024752475247524753
swollen_extremeties,2,Hepatitis B,0.0024752475247524753
excessive_hunger,4,Hepatitis B,0.0049504950495049506
drying_and_tingling_lips,2,Hepatitis B,0.0024752475247524753
slurred_speech,1,Hepatitis B,0.0012376237623762376
muscle_weakness,3,Hepatitis B,0.0037128712871287127
stiff_neck,2,Hepatitis B,0.0024752475247524753
swelling_joints,1,Hepatitis B,0.0012376237623762376
movement_stiffness,1,Hepatitis B,0.0012376237623762376
loss_of_balance,2,Hepatitis B,0.0024752475247524753
weakness_of_one_body_side,1,Hepatitis B,0.0012376237623762376
toxic_look_(typhos),3,Hepatitis B,0.0037128712871287127
depression,3,Hepatitis B,0.0037128712871287127
irritability,6,Hepatitis B,0.007425742574257425
muscle_pain,1,Hepatitis B,0.0012376237623762376
altered_sensorium,1,Hepatitis B,0.0012376237623762376
belly_pain,3,Hepatitis B,0.0037128712871287127
abnormal_menstruation,4,Hepatitis B,0.0049504950495049506
dischromic _patches,2,Hepatitis B,0.0024752475247524753
increased_appetite,1,Hepatitis B,0.0012376237623762376
polyuria,1,Hepatitis B,0.0012376237623762376
rusty_sputum,1,Hepatitis B,0.0012376237623762376
receiving_blood_transfusion,51,Hepatitis B,0.06311881188118812
receiving_unsterile_injections,51,Hepatitis B,0.06311881188118812
coma,2,Hepatitis B,0.0024752475247524753
stomach_bleeding,2,Hepatitis B,0.0024752475247524753
fluid_overload,1,Hepatitis B,0.0012376237623762376
palpitations,1,Hepatitis B,0.0012376237623762376
painful_walking,1,Hepatitis B,0.0012376237623762376
scurring,1,Hepatitis B,0.0012376237623762376
itching,8,Dengue,0.0098159509202454
skin_rash,54,Dengue,0.06625766871165645
nodal_skin_eruptions,2,Dengue,0.00245398773006135
continuous_sneezing,2,Dengue,0.00245398773006135
shivering,1,Dengue,0.001226993865030675
chills,47,Dengue,0.05766871165644172
joint_pain,47,Dengue,0.05766871165644172
stomach_pain,2,Dengue,0.00245398773006135
vomiting,52,Dengue,0.0638036809815951
burning_micturition,1,Dengue,0.001226993865030675
spotting_ urination,2,Dengue,0.00245398773006135
fatigue,50,Dengue,0.06134969325153374
mood_swings,2,Dengue,0.00245398773006135
weight_loss,2,Dengue,0.00245398773006135
restlessness,1,Dengue,0.001226993865030675
lethargy,2,Dengue,0.00245398773006135
patches_in_throat,1,Dengue,0.001226993865030675
irregular_sugar_level,1,Dengue,0.001226993865030675
cough,1,Dengue,0.001226993865030675
high_fever,49,Dengue,0.06012269938650307
sweating,3,Dengue,0.0036809815950920245
indigestion,1,Dengue,0.001226993865030675
headache,51,Dengue,0.06257668711656442
yellowish_skin,7,Dengue,0.008588957055214725
dark_urine,5,Dengue,0.006134969325153374
nausea,52,Dengue,0.0638036809815951
loss_of_appetite,53,Dengue,0.06503067484662577
pain_behind_the_eyes,46,Dengue,0.05644171779141104
back_pain,46,Dengue,0.05644171779141104
constipation,2,Dengue,0.00245398773006135
abdominal_pain,7,Dengue,0.008588957055214725
diarrhoea,3,Dengue,0.0036809815950920245
mild_fever,2,Dengue,0.00245398773006135
yellow_urine,1,Dengue,0.001226993865030675
yellowing_of_eyes,6,Dengue,0.007361963190184049
acute_liver_failure,1,Dengue,0.001226993865030675
swelling_of_stomach,1,Dengue,0.001226993865030675
swelled_lymph_nodes,3,Dengue,0.0036809815950920245
malaise,47,Dengue,0.05766871165644172
phlegm,1,Dengue,0.001226993865030675
throat_irritation,1,Dengue,0.001226993865030675
redness_of_eyes,1,Dengue,0.001226993865030675
sinus_pressure,1,Dengue,0.001226993865030675
runny_nose,2,Dengue,0.00245398773006135
congestion,1,Dengue,0.001226993865030675
chest_pain,2,Dengue,0.00245398773006135
fast_heart_rate,2,Dengue,0.00245398773006135
pain_during_bowel_movements,1,Dengue,0.001226993865030675
pain_in_anal_region,1,Dengue,0.001226993865030675
bloody_stool,1,Dengue,0.001226993865030675
irritation_in_anus,1,Dengue,0.001226993865030675
dizziness,1,Dengue,0.001226993865030675
brittle_nails,1,Dengue,0.001226993865030675
excessive_hunger,2,Dengue,0.00245398773006135
muscle_weakness,3,Dengue,0.0036809815950920245
stiff_neck,1,Dengue,0.001226993865030675
swelling_joints,1,Dengue,0.001226993865030675
movement_stiffness,1,Dengue,0.001226993865030675
spinning_movements,1,Dengue,0.001226993865030675
loss_of_balance,2,Dengue,0.00245398773006135
unsteadiness,1,Dengue,0.001226993865030675
loss_of_smell,1,Dengue,0.001226993865030675
irritability,2,Dengue,0.00245398773006135
muscle_pain,46,Dengue,0.05644171779141104
red_spots_over_body,44,Dengue,0.053987730061349694
abnormal_menstruation,3,Dengue,0.0036809815950920245
dischromic _patches,2,Dengue,0.00245398773006135
watering_from_eyes,1,Dengue,0.001226993865030675
lack_of_concentration,1,Dengue,0.001226993865030675
receiving_blood_transfusion,3,Dengue,0.0036809815950920245
receiving_unsterile_injections,2,Dengue,0.00245398773006135
coma,2,Dengue,0.00245398773006135
stomach_bleeding,1,Dengue,0.001226993865030675
distention_of_abdomen,1,Dengue,0.001226993865030675
fluid_overload,1,Dengue,0.001226993865030675
painful_walking,1,Dengue,0.001226993865030675
pus_filled_pimples,1,Dengue,0.001226993865030675
blackheads,2,Dengue,0.00245398773006135
scurring,1,Dengue,0.001226993865030675
skin_peeling,2,Dengue,0.00245398773006135
silver_like_dusting,2,Dengue,0.00245398773006135
small_dents_in_nails,1,Dengue,0.001226993865030675
inflammatory_nails,2,Dengue,0.00245398773006135
itching,2,Common Cold,0.0018885741265344666
skin_rash,3,Common Cold,0.0028328611898017
nodal_skin_eruptions,1,Common Cold,0.0009442870632672333
continuous_sneezing,52,Common Cold,0.049102927289896126
chills,52,Common Cold,0.049102927289896126
joint_pain,3,Common Cold,0.0028328611898017
stomach_pain,2,Common Cold,0.0018885741265344666
acidity,3,Common Cold,0.0028328611898017
ulcers_on_tongue,1,Common Cold,0.0009442870632672333
muscle_wasting,2,Common Cold,0.0018885741265344666
vomiting,5,Common Cold,0.004721435316336166
burning_micturition,2,Common Cold,0.0018885741265344666
spotting_ urination,1,Common Cold,0.0009442870632672333
fatigue,56,Common Cold,0.05288007554296506
weight_gain,2,Common Cold,0.0018885741265344666
cold_hands_and_feets,2,Common Cold,0.0018885741265344666
mood_swings,4,Common Cold,0.003777148253068933
weight_loss,3,Common Cold,0.0028328611898017
restlessness,3,Common Cold,0.0028328611898017
lethargy,2,Common Cold,0.0018885741265344666
patches_in_throat,1,Common Cold,0.0009442870632672333
irregular_sugar_level,1,Common Cold,0.0009442870632672333
cough,52,Common Cold,0.049102927289896126
high_fever,54,Common Cold,0.05099150141643059
breathlessness,2,Common Cold,0.0018885741265344666
sweating,3,Common Cold,0.0028328611898017
indigestion,2,Common Cold,0.0018885741265344666
headache,54,Common Cold,0.05099150141643059
nausea,1,Common Cold,0.0009442870632672333
loss_of_appetite,1,Common Cold,0.0009442870632672333
constipation,2,Common Cold,0.0018885741265344666
abdominal_pain,1,Common Cold,0.0009442870632672333
diarrhoea,2,Common Cold,0.0018885741265344666
yellowing_of_eyes,1,Common Cold,0.0009442870632672333
swelling_of_stomach,1,Common Cold,0.0009442870632672333
swelled_lymph_nodes,51,Common Cold,0.04815864022662889
malaise,51,Common Cold,0.04815864022662889
blurred_and_distorted_vision,2,Common Cold,0.0018885741265344666
phlegm,55,Common Cold,0.05193578847969783
throat_irritation,55,Common Cold,0.05193578847969783
redness_of_eyes,55,Common Cold,0.05193578847969783
sinus_pressure,55,Common Cold,0.05193578847969783
runny_nose,55,Common Cold,0.05193578847969783
congestion,55,Common Cold,0.05193578847969783
chest_pain,58,Common Cold,0.05476864966949953
fast_heart_rate,1,Common Cold,0.0009442870632672333
pain_during_bowel_movements,2,Common Cold,0.0018885741265344666
pain_in_anal_region,2,Common Cold,0.0018885741265344666
bloody_stool,2,Common Cold,0.0018885741265344666
irritation_in_anus,1,Common Cold,0.0009442870632672333
neck_pain,2,Common Cold,0.0018885741265344666
dizziness,2,Common Cold,0.0018885741265344666
obesity,1,Common Cold,0.0009442870632672333
puffy_face_and_eyes,2,Common Cold,0.0018885741265344666
enlarged_thyroid,2,Common Cold,0.0018885741265344666
brittle_nails,3,Common Cold,0.0028328611898017
swollen_extremeties,2,Common Cold,0.0018885741265344666
excessive_hunger,5,Common Cold,0.004721435316336166
extra_marital_contacts,2,Common Cold,0.0018885741265344666
knee_pain,3,Common Cold,0.0028328611898017
hip_joint_pain,2,Common Cold,0.0018885741265344666
muscle_weakness,3,Common Cold,0.0028328611898017
stiff_neck,3,Common Cold,0.0028328611898017
swelling_joints,3,Common Cold,0.0028328611898017
movement_stiffness,1,Common Cold,0.0009442870632672333
loss_of_balance,2,Common Cold,0.0018885741265344666
weakness_of_one_body_side,1,Common Cold,0.0009442870632672333
loss_of_smell,55,Common Cold,0.05193578847969783
bladder_discomfort,2,Common Cold,0.0018885741265344666
foul_smell_of urine,1,Common Cold,0.0009442870632672333
continuous_feel_of_urine,1,Common Cold,0.0009442870632672333
internal_itching,1,Common Cold,0.0009442870632672333
depression,4,Common Cold,0.003777148253068933
irritability,6,Common Cold,0.0056657223796034
muscle_pain,55,Common Cold,0.05193578847969783
altered_sensorium,1,Common Cold,0.0009442870632672333
abnormal_menstruation,4,Common Cold,0.003777148253068933
dischromic _patches,1,Common Cold,0.0009442870632672333
increased_appetite,1,Common Cold,0.0009442870632672333
polyuria,1,Common Cold,0.0009442870632672333
visual_disturbances,2,Common Cold,0.0018885741265344666
receiving_blood_transfusion,1,Common Cold,0.0009442870632672333
painful_walking,2,Common Cold,0.0018885741265344666
pus_filled_pimples,1,Common Cold,0.0009442870632672333
blackheads,1,Common Cold,0.0009442870632672333
scurring,1,Common Cold,0.0009442870632672333
itching,1,Typhoid,0.001669449081803005
skin_rash,2,Typhoid,0.00333889816360601
chills,44,Typhoid,0.07345575959933222
stomach_pain,1,Typhoid,0.001669449081803005
acidity,3,Typhoid,0.005008347245409015
ulcers_on_tongue,1,Typhoid,0.001669449081803005
vomiting,49,Typhoid,0.08180300500834725
burning_micturition,4,Typhoid,0.00667779632721202
fatigue,49,Typhoid,0.08180300500834725
mood_swings,3,Typhoid,0.005008347245409015
weight_loss,5,Typhoid,0.008347245409015025
restlessness,4,Typhoid,0.00667779632721202
lethargy,1,Typhoid,0.001669449081803005
irregular_sugar_level,1,Typhoid,0.001669449081803005
cough,2,Typhoid,0.00333889816360601
high_fever,47,Typhoid,0.07846410684474124
sunken_eyes,1,Typhoid,0.001669449081803005
breathlessness,3,Typhoid,0.005008347245409015
sweating,6,Typhoid,0.01001669449081803
dehydration,1,Typhoid,0.001669449081803005
indigestion,2,Typhoid,0.00333889816360601
headache,45,Typhoid,0.07512520868113523
yellowish_skin,2,Typhoid,0.00333889816360601
dark_urine,1,Typhoid,0.001669449081803005
nausea,42,Typhoid,0.07011686143572621
loss_of_appetite,1,Typhoid,0.001669449081803005
constipation,41,Typhoid,0.06844741235392321
abdominal_pain,39,Typhoid,0.0651085141903172
diarrhoea,46,Typhoid,0.07679465776293823
mild_fever,1,Typhoid,0.001669449081803005
yellowing_of_eyes,1,Typhoid,0.001669449081803005
swelling_of_stomach,1,Typhoid,0.001669449081803005
swelled_lymph_nodes,2,Typhoid,0.00333889816360601
malaise,1,Typhoid,0.001669449081803005
blurred_and_distorted_vision,3,Typhoid,0.005008347245409015
phlegm,1,Typhoid,0.001669449081803005
chest_pain,4,Typhoid,0.00667779632721202
fast_heart_rate,3,Typhoid,0.005008347245409015
dizziness,1,Typhoid,0.001669449081803005
obesity,1,Typhoid,0.001669449081803005
excessive_hunger,5,Typhoid,0.008347245409015025
hip_joint_pain,1,Typhoid,0.001669449081803005
muscle_weakness,3,Typhoid,0.005008347245409015
stiff_neck,2,Typhoid,0.00333889816360601
spinning_movements,1,Typhoid,0.001669449081803005
loss_of_balance,2,Typhoid,0.00333889816360601
unsteadiness,1,Typhoid,0.001669449081803005
bladder_discomfort,3,Typhoid,0.005008347245409015
foul_smell_of urine,3,Typhoid,0.005008347245409015
continuous_feel_of_urine,4,Typhoid,0.00667779632721202
toxic_look_(typhos),38,Typhoid,0.06343906510851419
depression,2,Typhoid,0.00333889816360601
irritability,5,Typhoid,0.008347245409015025
muscle_pain,2,Typhoid,0.00333889816360601
altered_sensorium,1,Typhoid,0.001669449081803005
red_spots_over_body,1,Typhoid,0.001669449081803005
belly_pain,38,Typhoid,0.06343906510851419
abnormal_menstruation,3,Typhoid,0.005008347245409015
increased_appetite,1,Typhoid,0.001669449081803005
polyuria,1,Typhoid,0.001669449081803005
family_history,1,Typhoid,0.001669449081803005
mucoid_sputum,1,Typhoid,0.001669449081803005
lack_of_concentration,1,Typhoid,0.001669449081803005
visual_disturbances,2,Typhoid,0.00333889816360601
coma,1,Typhoid,0.001669449081803005
distention_of_abdomen,1,Typhoid,0.001669449081803005
history_of_alcohol_consumption,1,Typhoid,0.001669449081803005
fluid_overload,1,Typhoid,0.001669449081803005
blood_in_sputum,1,Typhoid,0.001669449081803005
blister,2,Typhoid,0.00333889816360601
red_sore_around_nose,2,Typhoid,0.00333889816360601
yellow_crust_ooze,2,Typhoid,0.00333889816360601
itching,3,Hepatitis E,0.004070556309362279
skin_rash,2,Hepatitis E,0.0027137042062415195
nodal_skin_eruptions,1,Hepatitis E,0.0013568521031207597
continuous_sneezing,3,Hepatitis E,0.004070556309362279
shivering,3,Hepatitis E,0.004070556309362279
chills,4,Hepatitis E,0.005427408412483039
joint_pain,48,Hepatitis E,0.06512890094979647
acidity,1,Hepatitis E,0.0013568521031207597
vomiting,51,Hepatitis E,0.06919945725915876
fatigue,50,Hepatitis E,0.06784260515603799
anxiety,1,Hepatitis E,0.0013568521031207597
weight_loss,1,Hepatitis E,0.0013568521031207597
lethargy,1,Hepatitis E,0.0013568521031207597
patches_in_throat,1,Hepatitis E,0.0013568521031207597
cough,1,Hepatitis E,0.0013568521031207597
high_fever,50,Hepatitis E,0.06784260515603799
sunken_eyes,2,Hepatitis E,0.0027137042062415195
breathlessness,1,Hepatitis E,0.0013568521031207597
sweating,2,Hepatitis E,0.0027137042062415195
dehydration,1,Hepatitis E,0.0013568521031207597
headache,3,Hepatitis E,0.004070556309362279
yellowish_skin,52,Hepatitis E,0.07055630936227951
dark_urine,48,Hepatitis E,0.06512890094979647
nausea,50,Hepatitis E,0.06784260515603799
loss_of_appetite,55,Hepatitis E,0.07462686567164178
abdominal_pain,52,Hepatitis E,0.07055630936227951
diarrhoea,1,Hepatitis E,0.0013568521031207597
mild_fever,2,Hepatitis E,0.0027137042062415195
yellowing_of_eyes,54,Hepatitis E,0.07327001356852103
acute_liver_failure,49,Hepatitis E,0.06648575305291723
fluid_overload,2,Hepatitis E,0.0027137042062415195
swelled_lymph_nodes,1,Hepatitis E,0.0013568521031207597
malaise,2,Hepatitis E,0.0027137042062415195
blurred_and_distorted_vision,2,Hepatitis E,0.0027137042062415195
phlegm,1,Hepatitis E,0.0013568521031207597
chest_pain,1,Hepatitis E,0.0013568521031207597
weakness_in_limbs,1,Hepatitis E,0.0013568521031207597
pain_during_bowel_movements,1,Hepatitis E,0.0013568521031207597
pain_in_anal_region,1,Hepatitis E,0.0013568521031207597
bloody_stool,1,Hepatitis E,0.0013568521031207597
irritation_in_anus,1,Hepatitis E,0.0013568521031207597
swollen_legs,1,Hepatitis E,0.0013568521031207597
excessive_hunger,2,Hepatitis E,0.0027137042062415195
extra_marital_contacts,1,Hepatitis E,0.0013568521031207597
drying_and_tingling_lips,1,Hepatitis E,0.0013568521031207597
slurred_speech,1,Hepatitis E,0.0013568521031207597
knee_pain,1,Hepatitis E,0.0013568521031207597
hip_joint_pain,1,Hepatitis E,0.0013568521031207597
stiff_neck,1,Hepatitis E,0.0013568521031207597
swelling_joints,1,Hepatitis E,0.0013568521031207597
passage_of_gases,1,Hepatitis E,0.0013568521031207597
depression,2,Hepatitis E,0.0027137042062415195
irritability,2,Hepatitis E,0.0027137042062415195
red_spots_over_body,1,Hepatitis E,0.0013568521031207597
watering_from_eyes,3,Hepatitis E,0.004070556309362279
family_history,1,Hepatitis E,0.0013568521031207597
visual_disturbances,1,Hepatitis E,0.0013568521031207597
coma,50,Hepatitis E,0.06784260515603799
stomach_bleeding,49,Hepatitis E,0.06648575305291723
fluid_overload,2,Hepatitis E,0.0027137042062415195
blood_in_sputum,2,Hepatitis E,0.0027137042062415195
palpitations,1,Hepatitis E,0.0013568521031207597
painful_walking,1,Hepatitis E,0.0013568521031207597
scurring,1,Hepatitis E,0.0013568521031207597
skin_peeling,1,Hepatitis E,0.0013568521031207597
silver_like_dusting,1,Hepatitis E,0.0013568521031207597
small_dents_in_nails,1,Hepatitis E,0.0013568521031207597
itching,4,Tuberculosis,0.004343105320304018
skin_rash,1,Tuberculosis,0.0010857763300760044
nodal_skin_eruptions,2,Tuberculosis,0.002171552660152009
chills,48,Tuberculosis,0.05211726384364821
joint_pain,3,Tuberculosis,0.003257328990228013
stomach_pain,1,Tuberculosis,0.0010857763300760044
acidity,1,Tuberculosis,0.0010857763300760044
ulcers_on_tongue,1,Tuberculosis,0.0010857763300760044
vomiting,59,Tuberculosis,0.06406080347448426
burning_micturition,2,Tuberculosis,0.002171552660152009
fatigue,57,Tuberculosis,0.06188925081433225
weight_gain,2,Tuberculosis,0.002171552660152009
cold_hands_and_feets,2,Tuberculosis,0.002171552660152009
mood_swings,2,Tuberculosis,0.002171552660152009
weight_loss,47,Tuberculosis,0.051031487513572206
restlessness,1,Tuberculosis,0.0010857763300760044
lethargy,3,Tuberculosis,0.003257328990228013
irregular_sugar_level,1,Tuberculosis,0.0010857763300760044
